name,screen_name,created_at,id,friends_count,followers_count
The Academy,TheAcademy,2010-10-08 16:09:08,200163448,2185,3663377
Sergio P.Burguera,PozaSergio,2020-12-27 19:12:36,1343273549428097027,512,20
Carmen Ava Maria,CarmenAvaMaria1,2018-11-05 12:20:13,1059420115094200320,1325,458
VoiceBurma_21,VoiceBurma,2021-04-26 08:38:17,1386600424065536001,19,0
K Suresh,vzsuresh,2017-02-28 05:50:56,836453613207592961,96,17
kylin,realkylinwang,2020-03-30 08:31:06,1244542608841400323,90,0
えあ,eeeeeiganoran,2020-09-22 17:28:35,1308458135133147137,80,3
shrek,brashrek,2015-05-19 23:06:38,3290554311,2040,2177
Dhananjay,duggu123star,2015-03-28 05:29:40,3112177512,159,60
Aarushi Jain,Aarushi57193272,2021-01-20 16:58:51,1351937198824837121,132,0
Ganesh Marriages,GaneshGatika,2015-01-22 05:16:02,2991984193,5007,87
chandane,ShaikChandane,2020-07-19 10:47:58,1284802066834026499,13,2
Abner Lopez,lopez_abner,2011-08-02 05:04:44,347023771,375,32
